,MKT,SMB,HML,RMW,CMA
1990-03-31,0.0026,-0.0005,-0.0013,0.0009,-0.003
1990-04-30,-0.0042,-0.0040999999999999995,-0.0006,0.0037,0.0004
1990-05-31,0.0042,-0.0023,-0.0011,-0.0002,-0.0014000000000000002
1990-06-30,0.0053,-0.0007000000000000001,0.0012,0.0006,-0.0028000000000000004
1990-07-31,0.003,-0.0038,-0.0013,0.004,-0.001
1990-08-31,-0.002,-0.0031,-0.0006,0.0,0.0038
1990-09-30,0.0009,-0.0034999999999999996,-0.0028000000000000004,0.0008,-0.0001
1990-10-31,0.0274,-0.015,-0.0123,0.0134,-0.0158
1990-11-30,0.0079,-0.006999999999999999,0.0012,-0.002,0.003
1990-12-31,0.0068000000000000005,-0.0019,-0.0026,0.0055000000000000005,-0.0053
1991-01-31,-0.0095,0.0059,0.008199999999999999,-0.005699999999999999,0.0009
1991-02-28,-0.0003,0.010700000000000001,0.0032,-0.0022,-0.0008
1991-03-31,0.0086,-0.0015,-0.0016,0.0008,-0.0034000000000000002
1991-04-30,-0.0085,0.0064,-0.0016,0.0005,-0.001
1991-05-31,0.0121,-0.0049,0.0006,0.0008,-0.002
1991-06-30,-0.0029,0.0046,0.0043,-0.0013,0.001
1991-07-31,0.016200000000000003,-0.0111,-0.0039000000000000003,0.0038,-0.0053
1991-08-31,-0.0012,0.0024,-0.0017000000000000001,0.0,-0.0037
1991-09-30,-0.008,0.0008,0.0012,-0.0019,0.0019
1991-10-31,0.0027,-0.001,-0.0060999999999999995,0.0024,-0.0027
1991-11-30,-0.0031,0.0015,-0.0029,0.0014000000000000002,0.0051
1991-12-31,0.0138,-0.0131,-0.0064,0.005699999999999999,-0.0052
1992-01-31,-0.001,0.0004,0.005600000000000001,-0.0018,0.0025
1992-02-29,0.0025,0.0009,0.0036,0.0014000000000000002,-0.0008
1992-03-31,0.0009,0.0024,0.0031,-0.0023,0.0006
1992-04-30,0.0002,-0.005699999999999999,-0.0026,0.0039000000000000003,-0.003
1992-05-31,-0.0045000000000000005,0.006,-0.001,-0.0006,-0.0002
1992-06-30,0.0045000000000000005,-0.0016,0.0,0.0028000000000000004,-0.0015
1992-07-31,0.0105,-0.0034000000000000002,-0.0052,0.0042,-0.0019
1992-08-31,0.0024,0.0007000000000000001,-0.0038,0.0031,-0.0016
1992-09-30,0.0045000000000000005,-0.0018,-0.004,0.0033,-0.0023
1992-10-31,-0.0044,-0.0038,0.0022,0.0015,0.0004
1992-11-30,0.0079,-0.0034999999999999996,-0.0008,-0.0007000000000000001,-0.0026
1992-12-31,-0.0006,0.0012,0.0009,0.0,0.0021
1993-01-31,-0.003,-0.0038,0.005699999999999999,-0.005600000000000001,0.0052
1993-02-28,0.0084,-0.0055000000000000005,0.0024,0.0,0.001
1993-03-31,-0.0014000000000000002,0.002,0.0005,-0.0005,-0.0005
1993-04-30,-0.0037,0.0013,0.0031,0.0004,0.0015
1993-05-31,0.005600000000000001,-0.0014000000000000002,-0.0054,-0.0002,-0.0031
1993-06-30,0.0075,-0.005,0.0017000000000000001,-0.004699999999999999,0.0026
1993-07-31,-0.0022,0.0051,0.0055000000000000005,-0.0039000000000000003,0.0033
